start, 2012-11-26 15:08:25.520, 30
timestamp, sec, x, y, z, m11, m12, m13, m21, m22, m23, m31, m32, m33, heading, heading_acc
2012-11-26 15:08:26.837, 1.384672, 0.018478, -0.006012, -1.031769, 0.999629, 0.001724, -0.027188, -0.000890, 0.999529, 0.030661, 0.027228, -0.030625, 0.999160, 54.206635, 25.000000
2012-11-26 15:08:26.869, 1.416943, 0.021088, -0.014709, -1.014923, 0.999645, 0.002568, -0.026533, -0.001773, 0.999549, 0.029970, 0.026598, -0.029912, 0.999199, 54.206635, 25.000000
2012-11-26 15:08:26.900, 1.448137, 0.032501, -0.027237, -1.010803, 0.999646, 0.002342, -0.026485, -0.001548, 0.999550, 0.029956, 0.026544, -0.029904, 0.999200, 54.206635, 25.000000
2012-11-26 15:08:26.932, 1.480202, 0.041489, -0.052429, -0.985947, 0.999647, 0.001314, -0.026551, -0.000519, 0.999552, 0.029940, 0.026578, -0.029916, 0.999199, 54.206635, 25.000000
2012-11-26 15:08:26.964, 1.511889, 0.029831, -0.047745, -0.979202, 0.999625, 0.000099, -0.027366, 0.000740, 0.999530, 0.030648, 0.027356, -0.030657, 0.999156, 54.206635, 25.000000
2012-11-26 15:08:26.996, 1.544218, 0.036148, -0.040878, -1.011719, 0.999560, -0.000484, -0.029663, 0.001466, 0.999451, 0.033101, 0.029630, -0.033130, 0.999012, 54.206635, 25.000000
2012-11-26 15:08:27.027, 1.575519, 0.026779, -0.024414, -1.018799, 0.999537, -0.000344, -0.030412, 0.001305, 0.999499, 0.031610, 0.030386, -0.031635, 0.999038, 54.206635, 25.000000
2012-11-26 15:08:27.061, 1.609099, 0.035873, -0.020401, -1.041382, 0.999470, 0.000544, -0.032546, 0.000452, 0.999532, 0.030591, 0.032548, -0.030590, 0.999002, 54.206635, 25.000000
2012-11-26 15:08:27.093, 1.641003, 0.037262, -0.037949, -1.020599, 0.999426, 0.000564, -0.033859, 0.000430, 0.999569, 0.029344, 0.033861, -0.029342, 0.998996, 54.206635, 25.000000
2012-11-26 15:08:27.124, 1.672268, 0.038910, -0.044724, -1.002792, 0.999399, -0.000332, -0.034671, 0.001342, 0.999575, 0.029104, 0.034647, -0.029133, 0.998975, 54.206635, 25.000000
2012-11-26 15:08:27.155, 1.703544, 0.029617, -0.032242, -1.025665, 0.999355, -0.000965, -0.035895, 0.002049, 0.999542, 0.030178, 0.035849, -0.030232, 0.998900, 54.206635, 25.000000
2012-11-26 15:08:27.187, 1.735478, 0.031204, -0.037994, -1.000931, 0.999347, -0.000864, -0.036127, 0.001972, 0.999529, 0.030641, 0.036084, -0.030692, 0.998877, 54.206635, 25.000000
2012-11-26 15:08:27.219, 1.767158, 0.029221, -0.039001, -0.998993, 0.999385, -0.001004, -0.035065, 0.002096, 0.999513, 0.031121, 0.035016, -0.031176, 0.998900, 54.206635, 25.000000
2012-11-26 15:08:27.250, 1.798607, 0.038025, -0.043762, -1.009735, 0.999362, -0.001089, -0.035690, 0.002282, 0.999440, 0.033397, 0.035633, -0.033457, 0.998805, 54.206635, 25.000000
2012-11-26 15:08:27.283, 1.830672, 0.029434, -0.034149, -1.010849, 0.999363, -0.001150, -0.035657, 0.002375, 0.999408, 0.034328, 0.035596, -0.034391, 0.998774, 54.206635, 25.000000
